"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGI-KEY";"FARNELL";"MOUSER";"PNI-CORP";"TEMPERATURE";"VALUE";
"3";"1.5K@100MHz";"FERRITE_0402";"0402";"FB1, FB2, FB3";"Ferrite Bead";"";"";"";"";"";"";
"12";"100nF";"CAP_CERAMIC0402";"0402";"C3, C4, C6, C8, C9, C10, C12, C14, C17, C18, C19, C20";"Ceramic Capacitor";"";"";"";"";"";"";
"1";"10nF";"CAP_CERAMIC0402";"0402";"C2";"Ceramic Capacitor";"";"";"";"";"";"";
"1";"10uF";"CAP_CERAMIC0402";"0402";"C1";"Ceramic Capacitor";"";"";"";"";"";"";
"1";"120";"RESISTOR0603";"0603";"R12";"Resistors";"";"";"";"";"";"";
"6";"121 (0.1%)";"RESISTOR0402";"0402";"R2, R3, R4, R5, R6, R7";"Resistors";"";"";"";"";"";"";
"1";"1uF";"CAP_CERAMIC0402";"0402";"C13";"Ceramic Capacitor";"";"";"";"";"";"";
"3";"2.2uF";"CAP_CERAMIC0402";"0402";"C5, C7, C21";"Ceramic Capacitor";"";"";"";"";"";"";
"2";"2.4K";"RESISTOR0402";"0402";"R13, R14";"Resistors";"";"";"";"";"";"";
"1";"33K (1%)";"RESISTOR0402";"0402";"R1";"Resistors";"";"";"";"";"";"";
"3";"4.7uF";"CAP_CERAMIC0402";"0402";"C11, C15, C16";"Ceramic Capacitor";"";"";"";"";"";"";
"1";"47";"RESISTOR0402";"0402";"R11";"Resistors";"";"";"";"";"";"";
"3";"820";"RESISTOR0402";"0402";"R8, R9, R10";"Resistors";"";"";"";"";"";"";
"1";"ADG749";"ADG749";"SOT363";"U3";"2:1 Multiplexer";"ADG749BKSZ-REEL7CT-ND";"";"584-ADG749BKSZ-R7";"";"";"";
"1";"AXIS3D_UP";"AXIS3D_UP";"AXIS3D_UP";"AXIS3D1";"3D Axes";"";"";"";"";"";"";
"1";"BME280";"BME280_MANUAL";"BME280_LGA_MANUAL";"U6";"";"828-1063-1-ND";"";"262-BME280";"";"-40 to 85°C";"BME280";
"1";"Blue";"LED_0603";"CHIPLED_0603";"LED4";"LED";"";"";"";"";"";"";
"2";"CAN_DF13H";"CAN_DF13H";"DF13A-4P-1.25H";"P2, P3";"CAN Bus Connector";"H3369-ND";"";"798-DF13A4P125H20";"";"";"";
"1";"FOX924B-16.000";"TCXO_5.0X3.2A";"OSCILLATOR-5.0X3.2A";"XTAL1";"Temperature Compensated Crystal Oscillator";"";"";"";"";"";"";
"1";"Green";"LED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";
"1";"JTAG_TH";"JTAG_TH";"FTSH-105-01-XXX-DV";"P1";"JTAG Connector";"952-1383-ND";"";"855-M50-3500542";"";"-40°C to 105°C";"";
"4";"M3_5";"M3_5";"MP_M3-5";"MP1, MP2, MP3, MP4";"Mounting Point M3";"";"";"";"";"";"";
"1";"MAX3051";"MAX3051";"SOT23-8";"U5";"CAN Transceiver";"MAX3051EKA+TCT-ND";"";"700-MAX3051EKAT";"";"-40°C to 85°C";"";
"1";"MIC5319-3.3";"MIC5319-3.3";"SOT23-5";"U4";"3.3V Linear Voltage Regulator";"576-1910-1-ND";"";"998-MIC5319-3.3YD5TR";"";"";"";
"1";"MS5611";"MS5611";"MS5611";"U8";"Pressure Sensor";"223-1622-2-ND";"2362662";"824-MS561101BA03-50";"";"";"";
"1";"MS5637";"MS5637";"MS5637";"U7";"Pressure Sensor";"223-1199-1-ND";"";"824-MS5637-02BA04";"";"";"";
"1";"RM3100-MAGI2C";"RM3100-MAGI2C";"RM3100-MAGI2C";"U1";"Magnetometer IC";"";"";"";"13156";"";"";
"1";"RM3XXX-SEN-X";"RM3XXX-SEN-X";"RM3XXX-SEN-XY";"X1";"Magnetometer Sensor X-axis";"";"";"";"13104";"";"";
"1";"RM3XXX-SEN-Y";"RM3XXX-SEN-Y";"RM3XXX-SEN-XY";"Y1";"Magnetometer Sensor Y-axis";"";"";"";"13104";"";"";
"1";"RM3XXX-SEN-Z";"RM3XXX-SEN-Z";"RM3XXX-SEN_Z";"Z1";"Magnetometer Sensor Z-axis";"";"";"";"13101";"";"";
"1";"Red";"LED_0603";"CHIPLED_0603";"LED3";"LED";"";"";"";"";"";"";
"1";"STM32F40X_TQFP64";"STM32F40X_TQFP64";"TQFP64";"U2";"STM32F40x 64-pin LQFP";"497-11767-ND";"";"511-STM32F405RGT6";"";"-40°C to +85°C";"";
"1";"Yellow";"LED_0603";"CHIPLED_0603";"LED2";"LED";"";"";"";"";"";"";
